	Unnamed: 0	thread_id	total_repositories	repositories_per_thread	repositories_processed	pipelines_total	pipelines_processed	pipelines_success	pipelines_failed	success_rate	total_datasets	reads_per_pipeline	read_variable	read_var_pct	read_raw_string	read_str_pct	read_external	read_external_pct	total_reads_classified	dataset_exists	dataset_exists_pct	pipeline_rewritten	repositories_successful	repositories_success_rate
0	34.0	34	12960	360	360.0	9704.0	929.0	237.0	692.0	0.25511302475780406	518.0	2.1856540084388185	514.0	0.9922779922779923	0.0	0.0	0.0	0.0	514.0	144.0	0.277992277992278	144.0	0.0	0.0
0	28.0	28	12960	360	360.0	10548.0	1056.0	257.0	799.0	0.24337121212121213	525.0	2.0428015564202333	519.0	0.9885714285714285	0.0	0.0	0.0	0.0	519.0	161.0	0.30666666666666664	161.0	0.0	0.0
0	1.0	1	12960	360	360.0	11992.0	991.0	230.0	761.0	0.23208879919273462	451.0	1.9608695652173913	441.0	0.9778270509977827	0.0	0.0	0.0	0.0	441.0	114.0	0.25277161862527714	114.0	0.0	0.0
0	29.0	29	12960	360	147.0	3162.0	332.0	77.0	255.0	0.2319277108433735	165.0	2.142857142857143	162.0	0.9818181818181818	0.0	0.0	0.0	0.0	162.0	64.0	0.3878787878787879	64.0	0.0	0.0
0	25.0	25	12960	360	360.0	9736.0	1022.0	282.0	740.0	0.2759295499021526	584.0	2.0709219858156027	584.0	1.0	0.0	0.0	0.0	0.0	584.0	129.0	0.2208904109589041	129.0	0.0	0.0
0	14.0	14	12960	360	360.0	8666.0	1005.0	269.0	736.0	0.2676616915422886	586.0	2.1784386617100373	580.0	0.9897610921501706	0.0	0.0	0.0	0.0	580.0	117.0	0.19965870307167236	117.0	0.0	0.0
0	18.0	18	12960	360	360.0	11220.0	966.0	259.0	707.0	0.26811594202898553	495.0	1.9111969111969112	487.0	0.9838383838383838	0.0	0.0	0.0	0.0	487.0	185.0	0.37373737373737376	185.0	0.0	0.0
0	9.0	9	12960	360	360.0	8592.0	1066.0	258.0	808.0	0.24202626641651032	528.0	2.046511627906977	524.0	0.9924242424242424	0.0	0.0	0.0	0.0	524.0	122.0	0.23106060606060605	122.0	0.0	0.0
0	2.0	2	12960	360	360.0	13957.0	1115.0	278.0	837.0	0.24932735426008967	483.0	1.7374100719424461	475.0	0.9834368530020704	0.0	0.0	0.0	0.0	475.0	128.0	0.2650103519668737	128.0	0.0	0.0
0	24.0	24	12960	360	360.0	9271.0	1097.0	311.0	786.0	0.2835004557885141	592.0	1.9035369774919615	588.0	0.9932432432432432	0.0	0.0	0.0	0.0	588.0	117.0	0.19763513513513514	117.0	0.0	0.0
0	35.0	35	12960	360	360.0	10279.0	1294.0	426.0	868.0	0.32921174652241114	812.0	1.9061032863849765	807.0	0.9938423645320197	0.0	0.0	0.0	0.0	807.0	258.0	0.31773399014778325	258.0	0.0	0.0
0	19.0	19	12960	360	360.0	9861.0	936.0	281.0	655.0	0.3002136752136752	573.0	2.03914590747331	569.0	0.9930191972076788	0.0	0.0	0.0	0.0	569.0	135.0	0.2356020942408377	135.0	0.0	0.0
0	30.0	30	12960	360	360.0	12009.0	970.0	263.0	707.0	0.2711340206185567	492.0	1.870722433460076	479.0	0.9735772357723578	0.0	0.0	0.0	0.0	479.0	124.0	0.25203252032520324	124.0	0.0	0.0
0	6.0	6	12960	360	360.0	12859.0	1047.0	272.0	775.0	0.2597898758357211	641.0	2.3566176470588234	631.0	0.984399375975039	0.0	0.0	0.0	0.0	631.0	206.0	0.3213728549141966	206.0	0.0	0.0
0	15.0	15	12960	360	360.0	9617.0	873.0	234.0	639.0	0.26804123711340205	674.0	2.8803418803418803	668.0	0.9910979228486647	0.0	0.0	0.0	0.0	668.0	123.0	0.1824925816023739	123.0	0.0	0.0
0	8.0	8	12960	360	360.0	9975.0	995.0	251.0	744.0	0.2522613065326633	674.0	2.685258964143426	646.0	0.9584569732937686	0.0	0.0	0.0	0.0	646.0	119.0	0.17655786350148367	119.0	0.0	0.0
0	22.0	22	12960	360	360.0	10359.0	979.0	272.0	707.0	0.27783452502553624	677.0	2.488970588235294	674.0	0.9955686853766618	0.0	0.0	0.0	0.0	674.0	151.0	0.22304283604135894	151.0	0.0	0.0
0	20.0	20	12960	360	360.0	9191.0	963.0	263.0	700.0	0.2731048805815161	526.0	2.0	521.0	0.9904942965779467	0.0	0.0	0.0	0.0	521.0	152.0	0.2889733840304182	152.0	0.0	0.0
0	10.0	10	12960	360	360.0	7902.0	952.0	258.0	694.0	0.2710084033613445	517.0	2.003875968992248	513.0	0.9922630560928434	0.0	0.0	0.0	0.0	513.0	105.0	0.20309477756286268	105.0	0.0	0.0
0	11.0	11	12960	360	360.0	6802.0	917.0	300.0	617.0	0.3271537622682661	541.0	1.8033333333333332	541.0	1.0	0.0	0.0	0.0	0.0	541.0	165.0	0.3049907578558225	165.0	0.0	0.0
0	3.0	3	12960	360	360.0	13320.0	1143.0	278.0	865.0	0.2432195975503062	597.0	2.147482014388489	583.0	0.9765494137353434	0.0	0.0	0.0	0.0	583.0	172.0	0.288107202680067	172.0	0.0	0.0
0	12.0	12	12960	360	360.0	10619.0	1031.0	247.0	784.0	0.23957322987390883	441.0	1.785425101214575	437.0	0.9909297052154195	0.0	0.0	0.0	0.0	437.0	158.0	0.35827664399092973	158.0	0.0	0.0
0	31.0	31	12960	360	360.0	11413.0	1036.0	312.0	724.0	0.30115830115830117	647.0	2.073717948717949	639.0	0.9876352395672334	0.0	0.0	0.0	0.0	639.0	302.0	0.4667697063369397	302.0	0.0	0.0
0	26.0	26	12960	360	360.0	11271.0	1033.0	264.0	769.0	0.25556631171345595	534.0	2.022727272727273	530.0	0.9925093632958801	0.0	0.0	0.0	0.0	530.0	185.0	0.3464419475655431	185.0	0.0	0.0
0	33.0	33	12960	360	360.0	8009.0	935.0	291.0	644.0	0.31122994652406416	535.0	1.838487972508591	529.0	0.9887850467289719	0.0	0.0	0.0	0.0	529.0	197.0	0.36822429906542054	197.0	0.0	0.0
0	5.0	5	12960	360	360.0	11057.0	1074.0	295.0	779.0	0.2746741154562384	733.0	2.4847457627118645	729.0	0.9945429740791268	0.0	0.0	0.0	0.0	729.0	183.0	0.24965893587994542	183.0	0.0	0.0
0	17.0	17	12960	360	360.0	8466.0	974.0	248.0	726.0	0.2546201232032854	506.0	2.0403225806451615	499.0	0.9861660079051383	0.0	0.0	0.0	0.0	499.0	181.0	0.3577075098814229	181.0	0.0	0.0
0	7.0	7	12960	360	360.0	12957.0	1033.0	237.0	796.0	0.22942884801548888	460.0	1.9409282700421941	449.0	0.9760869565217392	0.0	0.0	0.0	0.0	449.0	89.0	0.1934782608695652	89.0	0.0	0.0
0	16.0	16	12960	360	360.0	10132.0	1003.0	237.0	766.0	0.23629112662013957	462.0	1.9493670886075949	455.0	0.9848484848484849	0.0	0.0	0.0	0.0	455.0	129.0	0.2792207792207792	129.0	0.0	0.0
0	0.0	0	12960	360	360.0	10262.0	1078.0	302.0	776.0	0.28014842300556586	589.0	1.9503311258278146	580.0	0.9847198641765704	0.0	0.0	0.0	0.0	580.0	188.0	0.31918505942275044	188.0	0.0	0.0
0	27.0	27	12960	360	360.0	10465.0	918.0	239.0	679.0	0.26034858387799564	526.0	2.200836820083682	519.0	0.9866920152091255	0.0	0.0	0.0	0.0	519.0	167.0	0.31749049429657794	167.0	0.0	0.0
0	23.0	23	12960	360	360.0	9104.0	896.0	302.0	594.0	0.33705357142857145	865.0	2.8642384105960264	863.0	0.9976878612716763	0.0	0.0	0.0	0.0	863.0	344.0	0.3976878612716763	344.0	0.0	0.0
0	4.0	4	12960	360	360.0	11674.0	1004.0	256.0	748.0	0.2549800796812749	530.0	2.0703125	523.0	0.9867924528301887	0.0	0.0	0.0	0.0	523.0	169.0	0.31886792452830187	169.0	0.0	0.0
0	32.0	32	12960	360	360.0	11647.0	963.0	248.0	715.0	0.25752855659397716	495.0	1.9959677419354838	477.0	0.9636363636363636	0.0	0.0	0.0	0.0	477.0	120.0	0.24242424242424243	120.0	0.0	0.0
0	13.0	13	12960	360	360.0	11919.0	1017.0	263.0	754.0	0.2586037364798427	530.0	2.0152091254752853	521.0	0.9830188679245283	0.0	0.0	0.0	0.0	521.0	132.0	0.2490566037735849	132.0	0.0	0.0
0	21.0	21	12960	360	360.0	19536.0	1017.0	290.0	727.0	0.28515240904621436	559.0	1.9275862068965517	550.0	0.9838998211091234	0.0	0.0	0.0	0.0	550.0	175.0	0.31305903398926654	175.0	0.0	0.0
Total					12747.0	377553.0	35660.0	9587.0	26073.0	0.2688446438586652	20063.0	2.0927297381871286	19806.0	0.9871903503962518	0.0	0.0	0.0	0.0	19806.0	5710.0	0.2846034989782186	5710.0	0.0	
